Dataset,Type,nTEterminals,nTEcharacters,nMOLterminals,nMolCharacters,nMorphCharacters,nInvariantCharacters,%MOL/Total,%Morph/Total,nUniqueMorphTerminals,MP_MOL_Score,MP_MOL_nClades,MP_MOL_MeanBS,MP_TE_Score,MP_TE_nClades,MP_TE_MeanBS,MP_MOL/TE_Score,MP_MORPH/TE_Score,nPolytomiesMOL,nPolytomiesTE,nUniqueCladesMOL,nUniqueCladesTE,MOLvsTE_nSharedClades,MOLvsTE_NormalizedRF,MOLvsTE_NormalizedMeanSPR,MOLvsTE_NormalizedMinSPR,MOLvsTE_NormalizedCID,MOLvsTE_ACID,ML_MOL_Score,ML_MOL_MeanBS,ML_MOL_nClades,ML_TE_noASC_Score,ML_TE_noASC_MeanBS,ML_TE_noASC_nClades,ML_MOL/TEnoASC_Score,ML_MORPH/TEnoASC_Score,ML_TE_ASC_Score,ML_TE_ASC_MeanBS,ML_TE_ASC_nClades,ML_MOL/TEASC_Score,ML_MORPH/TeASC_Score,nPolytomiesMOL,nPolytomiesTEnoASC,nPolytomiesTEASC,MOLvsTEASC_nUniqueCladesMOL,MOLvsTEASC_nUniqueCladesTEASC,MOLvsTEASC_nSharedClades,MOLvsTEASC_NormalizedRF,MOLvsTEASC_NormalizedMeanSPR,MOLvsTEASC_NormalizedMinSPR,MOLvsTEASC_NormalizedCID,MOLvsTEASC_ACID,MOLvsTEnoASC_nUniqueCladesMOL,MOLvsTEnoASC_nUniqueCladesTEnoASC,MOLvsTEnoASC_nSharedClades,MOLvsTEnoASC_NormalizedRF,MOLvsTEnoASC_NormalizedMeanSPR,MOLvsTEnoASC_NormalizedMinSPR,MOLvsTEnoASC_NormalizedCID,MOLvsTENOASC_ACID
011_Beck,Extant,107,24717,107,24537,180,6,0.992717563,0.007282437,0,154682,105,80.4,155351,102,80.4,0.995693623,0.004306377,1,2,11,8,94,0.09359606,0.070439171,0.06037643,0.08068736,0.03249,-1024688.516,97.2,105,-1028961.532,97.1,105,0.995847253,0.004152747,-1026119.853,96.2,105,0.998605097,0.001394903,1,1,1,13,13,92,0.125,0.100627387,0.100627387,0.0580897,0.02476,9,9,96,0.086538462,0.07043917,0.07043917,0.075304614,0.03264
012_Near,Extant,10,7301,10,7173,128,25,0.982468155,0.017531845,0,4390,9,100,4550,9,99.9,0.964835165,0.035164835,0,0,0,0,9,0,0,0,0,0,-27522.1681,96,8,-28343.339,95,8,0.971027729,0.028972271,-28243.6369,96,8,0.974455528,0.025544472,1,1,1,1,1,7,0.142857143,0.1643173,0.1643173,0.13019169,0.12513,1,1,7,0.142857143,0.1643173,0.1643173,0.13019169,0.12513
013_Vinther,Extant,37,2164,37,2030,134,32,0.938077634,0.061922366,0,6183,36,54.3,6335,36,63.6,0.976006314,0.023993686,0,3,15,1,21,0.296296296,0.1268152,0.0951114,0.39061573,0.18684,-37683.1988,79.6,35,-38763.0393,85.3,35,0.972142522,0.027857478,-38685.9692,85.3,35,0.974079223,0.025920777,1,1,1,1,1,34,0.029411765,0.0317038,0.0317038,0.023541331,0.01541,1,1,34,0.029411765,0.0317038,0.0317038,0.023541331,0.01541
014_Lee,Extant,46,41401,46,36860,4541,578,0.890316659,0.109683341,0,97787,45,87,118460,45,92.4,0.825485396,0.174514604,0,1,7,6,38,0.152941176,0.09954365,0.09954365,0.094541437,0.05393,-464645.3236,96.2,44,-588077.7819,93.4,44,0.790108618,0.209891382,-585336.1607,93.4,44,0.793809361,0.206190639,1,1,1,10,10,34,0.23255814,0.1742014,0.1742014,0.140773226,0.08143,10,10,34,0.23255814,0.1742014,0.1742014,0.140773226,0.08143
015_Gavryushkina,Extant,19,6894,19,6642,252,122,0.963446475,0.036553525,0,1663,18,83.6,1925,18,80.7,0.863896104,0.136103896,0,2,4,1,14,0.172413793,0.06925953,0.06925953,0.177759582,0.13042,-17652.6871,89,17,-19580.6309,90.8,17,0.901538219,0.098461781,-19070.3723,90.8,17,0.925660329,0.074339671,1,1,1,0,0,17,0,0,0,0,0,0,0,17,0,0,0,0,0
016_VeaGrimaldi,Extant,48,3905,48,3731,174,6,0.955441741,0.044558259,0,7329,12,46.8,8461,12,55.8,0.866209668,0.133790332,2,2,0,33,12,0.622641509,0.1899839,0.1424879,0.726934119,0.23827,-33425.1943,86.7,46,-39759.7941,88.7,46,0.840678254,0.159321746,-39708.3489,89.3,46,0.841767417,0.158232583,1,1,1,22,22,24,0.488888889,0.2849758,0.2849758,0.286098587,0.15877,22,22,24,0.488888889,0.2849758,0.2849758,0.286098587,0.15877
017_Ronquist,Extant,59,5449,59,5096,353,2,0.935217471,0.064782529,0,15896,58,49.3,17434,58,62.7,0.911781576,0.088218424,0,0,15,15,43,0.267857143,0.1706967,0.1706967,0.17843049,0.09361,-65935.5365,76.3,57,-74735.5324,79.1,57,0.882251513,0.117748487,-74706.5191,79.4,57,0.882594147,0.117405853,1,1,1,13,13,44,0.232142857,0.1327641,0.1327641,0.116531509,0.06364,13,13,44,0.232142857,0.1327641,0.1327641,0.116531509,0.06364
018_MarxFordyce,Extant,12,37285,12,37013,272,48,0.992704841,0.007295159,0,9252,11,90.5,9677,11,93.9,0.95608143,0.04391857,0,0,1,1,10,0.111111111,0.1262808,0.1262808,0.114285342,0.10289,-86325.7949,97.9,10,-88559.7654,95.8,10,0.974774431,0.025225569,-88559.7654,95.9,10,0.974774431,0.025225569,1,1,1,1,1,9,0.111111111,0.1262808,0.1262808,0.111693607,0.10289,1,1,9,0.111111111,0.1262808,0.1262808,0.111693607,0.10289
019_Lee,Extant,53,22526,53,22131,395,20,0.982464707,0.017535293,0,39963,52,86.3,40740,52,88.1,0.980927835,0.019072165,0,0,2,2,50,0.04,0.04261731,0.04261731,0.050960229,0.02663,-218652.666,91.9,51,-224511.33,93,51,0.973904818,0.026095182,-224400.7119,93,51,0.974384903,0.025615097,1,1,1,2,2,49,0.04,0.04261731,0.04261731,0.02172034,0.01168,2,2,49,0.04,0.04261731,0.04261731,0.02172034,0.01168
020_Wiens,Extant,45,16092,45,15794,298,0,0.981481481,0.018518519,0,29616,44,90.9,31148,44,88.8,0.950815462,0.049184538,0,1,4,3,40,0.084337349,0.07648909,0.07648909,0.085566287,0.04847,-161474.3542,95.3,43,-169478.5099,95.6,43,0.952771855,0.047228145,-169478.0948,95.8,43,0.952774188,0.047225812,1,1,1,4,4,39,0.095238095,0.1019855,0.1019855,0.086375181,0.05024,4,4,39,0.095238095,0.1019855,0.1019855,0.086375181,0.05024
