Dataset,Type,nTEterminals,nTEcharacters,nMOLterminals,nMolCharacters,nMorphCharacters,nInvariantCharacters,%MOL/Total,%Morph/Total,nUniqueMorphTerminals,MP_MOL_Score,MP_MOL_nClades,MP_MOL_MeanBS,MP_TE_Score,MP_TE_nClades,MP_TE_MeanBS,MP_MOL/TE_Score,MP_MORPH/TE_Score,nPolytomiesMOL,nPolytomiesTE,nUniqueCladesMOL,nUniqueCladesTE,MOLvsTE_nSharedClades,MOLvsTE_NormalizedRF,MOLvsTE_NormalizedMeanSPR,MOLvsTE_NormalizedMinSPR,MOLvsTE_NormalizedCID,MOLvsTE_ACID,ML_MOL_Score,ML_MOL_MeanBS,ML_MOL_nClades,ML_TE_noASC_Score,ML_TE_noASC_MeanBS,ML_TE_noASC_nClades,ML_MOL/TEnoASC_Score,ML_MORPH/TEnoASC_Score,ML_TE_ASC_Score,ML_TE_ASC_MeanBS,ML_TE_ASC_nClades,ML_MOL/TEASC_Score,ML_MORPH/TeASC_Score,nPolytomiesMOL,nPolytomiesTEnoASC,nPolytomiesTEASC,MOLvsTEASC_nUniqueCladesMOL,MOLvsTEASC_nUniqueCladesTEASC,MOLvsTEASC_nSharedClades,MOLvsTEASC_NormalizedRF,MOLvsTEASC_NormalizedMeanSPR,MOLvsTEASC_NormalizedMinSPR,MOLvsTEASC_NormalizedCID,MOLvsTEASC_ACID,MOLvsTEnoASC_nUniqueCladesMOL,MOLvsTEnoASC_nUniqueCladesTEnoASC,MOLvsTEnoASC_nSharedClades,MOLvsTEnoASC_NormalizedRF,MOLvsTEnoASC_NormalizedMeanSPR,MOLvsTEnoASC_NormalizedMinSPR,MOLvsTEnoASC_NormalizedCID,MOLvsTENOASC_ACID
045_Carrasco,Extant,128,4831,128,4724,107,0,0.977851377,0.022148623,0,15083,120,67.9,15803,120,70.8,0.954439031,0.045560969,3,3,7,10,113,0.071129707,0.03336461,0.02502346,0.098556301,0.03589,-68458.9642,94.2,126,-73674.0429,94.2,126,0.929214164,0.070785836,-73672.9005,94.8,126,0.929228573,0.070771427,1,1,1,20,20,106,0.16,0.108435,0.108435,0.122328731,0.04449,19,19,107,0.152,0.108435,0.108435,0.120611847,0.04449
046_Maile,Extant,92,333866,92,333766,100,0,0.999700479,0.000299521,0,435512,91,70.6,435773,91,71.6,0.999401064,0.000598936,0,0,6,6,85,0.06741573,0.04719397,0.04719397,0.057129521,0.02356,-2472176.546,93.8,90,-2473819.43,92.3,90,0.999335892,0.000664108,-2473807.546,93,90,0.999340692,0.000659308,1,1,1,7,7,83,0.078651685,0.05899247,0.05899247,0.052367477,0.02195,3,3,87,0.03370787,0.03539548,0.03539548,0.016334356,0.00679
047_Schulte,Extant,70,1905,70,1838,67,3,0.964829396,0.035170604,0,14670,61,60.6,14900,61,62.4,0.984563758,0.015436242,6,1,0,7,61,0.056,0.07889311,0,0.079991083,0.0339,-57680.6047,91.6,68,-58855.109,91.1,68,0.98004414,0.01995586,-58833.7966,90.8,68,0.980399159,0.019600841,1,1,1,10,10,58,0.14925373,0.094671726,0.094671726,0.17293561,0.06776,10,10,58,0.149253731,0.09467173,0.09467173,0.17293561,0.06776
048_AraujoVieira,Extant,53,6026,53,5833,193,0,0.967972121,0.032027879,0,8104,45,76.5,9539,45,79.5,0.849564944,0.150435056,4,4,0,1,45,0.01149425,0.07931555,0.04261731,0.006073177,0.00306,-42793.6197,91.9,51,-46445.4777,90.6,51,0.921373228,0.078626772,-46440.7975,92.3,51,0.921466082,0.078533918,1,1,1,1,1,50,0.02,0.02130866,0.02130866,0.008091226,0.00453,1,1,50,0.02,0.02130866,0.02130866,0.008091226,0.00453
049_Mendelson,Extant,37,5942,37,5898,44,0,0.992595086,0.007404914,0,7152,33,82.1,7369,33,83.3,0.970552314,0.029447686,3,1,0,2,33,0.03125,0.0634076,0,0.05516673,0.0338,-66087.4815,95.1,35,-67048.8909,94.8,35,0.985661069,0.014338931,-67049.2936,94.3,35,0.985655149,0.014344851,1,1,1,0,0,35,0,0,0,0,0,0,0,35,0,0,0,0,0
050_Pereyra,Extant,320,8352,320,8269,90,0,0.990062261,0.010775862,0,23441,261,59.5,24201,260,60.8,0.968596339,0.031403661,31,30,7,6,254,0.025145068,0.10045896,0.04860917,0.036319771,0.00669,-119119.9713,94.2,318,-122926.0747,94.3,318,0.969037461,0.030962539,-122926.1854,93.9,318,0.969036588,0.030963412,1,1,1,22,22,296,0.06940063,0.048609174,0.048609174,0.04268608,0.00502,22,22,296,0.069400631,0.04860917,0.04860917,0.04268608,0.00706
051_Whitcher,Extant,243,661467,243,661266,201,0,0.99969613,0.00030387,0,968328,229,88.7,969585,229,88.7,0.998703569,0.001296431,8,8,0,0,229,0,0,0,0,0,-6476961.493,97.6,241,-6477301.679,99.4,241,0.99994748,5.25198E-05,-6477300.054,98.1,241,0.999947731,5.22689E-05,1,1,1,2,2,239,0.008333333,0.008593357,0.008593357,0.002149392,0.00053,5,5,236,0.02083333,0.012890036,0.012890036,0.007629812,0.0019
052_Pyron,Extant,94,9074,94,8710,364,23,0.959885387,0.040114613,0,41461,77,52.8,43700,84,59.1,0.948764302,0.051235698,2,4,16,23,61,0.248407643,0.13840165,0.1153347,0.225738213,0.07887,-166618.4594,90.8,92,-180729.2225,93.6,92,0.921923179,0.078076821,-180544.5232,92.9,92,0.922866318,0.077133682,1,1,1,35,35,57,0.38461538,0.230669417,0.230669417,0.23082456,0.10509,36,36,56,0.395604396,0.2422029,0.2422029,0.231428177,0.10509
053_Azevedo,Extant,156,35506,156,35106,400,129,0.988734298,0.011265702,0,129351,132,56,131140,145,58.8,0.986358091,0.013641909,13,4,24,37,108,0.22344322,0.108625427,0.06789089,0.147246214,0.04072,-584119.3653,93.3,154,-593035.6066,87.6,154,0.984965083,0.015034917,-593693.4024,92.4,154,0.983873769,0.016126231,1,1,1,39,39,115,0.25490196,0.156149051,0.156149051,0.1449419,0.04697,54,54,100,0.352941176,0.1697272,0.1697272,0.185799145,0.06182
054_Beck,Extant,20,10662,20,10244,418,109,0.960795348,0.039204652,0,2162,19,90.3,3184,17,83.3,0.679020101,0.320979899,0,2,4,2,15,0.1875,0.1950753,0.1300502,0.163613626,0.1216,-27730.7532,93.9,18,-32349.4584,93.7,18,0.857224651,0.142775349,-31873.3818,93.9,18,0.870028583,0.129971417,1,1,1,1,1,17,0.05882353,0.065025088,0.065025088,0.05217763,0.04229,1,1,17,0.058823529,0.06502509,0.06502509,0.052177633,0.04229
055_Jauregui-Lazo,Extant,98,72306,98,72263,43,0,0.999405305,0.000594695,0,53573,97,81.1,54302,97,79.6,0.98657508,0.01342492,0,0,0,0,97,0,0,0,0,0,-436927.1037,93.5,96,-438336.9961,93.6,96,0.996783542,0.003216458,-440024.1934,95.3,96,0.992961547,0.007038453,1,1,1,17,17,79,0.17894737,0.088299226,0.088299226,0.07253293,0.03083,13,13,83,0.136842105,0.06622442,0.06622442,0.067525195,0.02912
057_Chakrabarty,Extant,35,95400,35,95274,126,1,0.998679245,0.001320755,0,94454,34,94.5,94621,34,92.1,0.998235064,0.001764936,0,0,0,0,34,0,0,0,0,0,-614846.3165,96.7,33,-615583.9679,96.5,33,0.998801705,0.001198295,-615532.2276,96.7,33,0.998885662,0.001114338,1,1,1,0,0,33,0,0,0,0,0,0,0,33,0,0,0,0,0
058_Scarpetta,Extant,44,1053619,44,1053473,146,178,0.99986143,0.00013857,0,364615,43,85.6,365160,43,85.5,0.998507504,0.001492496,0,0,4,4,39,0.09756098,0.02613721,0.02613721,0.082180209,0.24262,-3560949.783,97.9,42,-3563420.745,98.2,42,0.999306576,0.000693424,-3563411.994,97.9,42,0.99930903,0.00069097,1,1,1,0,0,42,0,0,0,0,0,0,0,42,0,0,0,0,0
003_Leary,Extinct,37,2780,9,2657,123,1,0.955755396,0.044244604,28,2138,8,93.9,2631,29,36.8,0.812618776,0.187381224,0,3,3,0,5,0.333333333,0,0,0.368321917,0.25,-12528.8058,89.5,7,-14581.1287,76.8,35,0.859248009,0.140751991,-14582.2824,74.3,35,0.859180028,0.140819972,1,1,1,1,2,6,0.166666667,0.1931574,0.1931574,0.144415288,0.13829,1,2,6,0.166666667,0.193157424,0.193157424,0.144415288,0.13829
007_Echevarria,Extinct,270,14315,267,14264,51,0,0.996437304,0.003562696,3,83483,237,63.2,83798,188,61.2,0.99624096,0.00375904,11,11,49,0,188,0.116389549,0.0299536,0,0.229444534,0.03819,-347967.7899,81.9,265,-349300.2247,96.6,268,0.996185417,0.003814583,-349300.2328,96.3,268,0.996185394,0.003814606,1,1,1,11,11,254,0.041666667,0.01170227,0.01170227,0.020791359,0.00509,11,11,254,0.041666667,0.011702267,0.011702267,0.020791359,0.00509
008_Cascini,Extinct,32,15372,28,15253,119,0,0.992258652,0.007741348,4,15355,27,89.9,15755,31,94.4,0.974611235,0.025388765,0,0,0,0,27,0,0,0,0,0,-82259.598,95.4,26,-84521.8093,90.5,31,0.973235177,0.026764823,-84521.8093,90.9,31,0.973235177,0.026764823,1,1,1,4,4,22,0.16,0.1307162,0.1307162,0.120212459,0.09133,4,4,22,0.16,0.130716162,0.130716162,0.120212459,0.09133
009_Wood,Extinct,37,5444,32,5316,128,0,0.976487877,0.023512123,5,9349,21,55.1,9740,22,39.8,0.959856263,0.040143737,4,5,5,2,16,0.2,0.1702287,0.07473454,0.173652514,0.0715,-44986.6141,87.8,30,-47246.404,84.9,35,0.952170119,0.047829881,-47246.404,85.8,35,0.952170119,0.047829881,1,1,1,7,7,23,0.24137931,0.1494691,0.1494691,0.188363502,0.1314,7,7,23,0.24137931,0.149469083,0.149469083,0.188363502,0.1314
010_Anker,Extinct,22,548,16,509,39,0,0.928832117,0.071167883,6,546,15,64.6,643,14,46.1,0.849144635,0.150855365,0,4,3,1,12,0.166666667,0.08599065,0.08599065,0.151196114,0.11841,-2964.2402,75.8,12,-3437.9441,77,21,0.86221303,0.13778697,-3435.7106,76.2,21,0.862773541,0.137226459,1,1,1,1,2,13,0.076923077,0.08599065,0.08599065,0.091606133,0.07731,1,2,13,0.076923077,0.08599065,0.08599065,0.091606133,0.07731
011_Beck,Extinct,182,24717,107,24537,180,0,0.992717563,0.007282437,75,154682,105,80.4,155686,102,20.3,0.993551122,0.006448878,1,2,11,8,94,0.093596059,0.08050191,0.06037643,0.08068736,0.07086,-1024688.516,97.2,105,-1028961.532,85.1,180,0.995847253,0.004152747,-1026119.853,87.8,180,0.998605097,0.001394903,1,1,1,8,9,97,0,0,0,0,0.00177,3,4,102,0,0,0,0,0.00424
013_Vinther,Extinct,62,2164,37,2030,134,11,0.938077634,0.061922366,25,6183,36,54.3,6410,32,27.3,0.964586583,0.035413417,0,5,10,1,26,0.186440678,0.1126989,0.0951114,0.242382356,0.12977,-37683.1988,79.6,35,-39210.4395,82.2,60,0.961050151,0.038949849,-39185.0083,83,60,0.961673876,0.038326124,1,1,1,1,1,34,0.029411765,0.0317038,0.0317038,0.023541331,0.01541,1,1,34,0.029411765,0.0317038,0.0317038,0.023541331,0.01541
017_Ronquist,Extinct,113,5449,59,5096,353,2,0.935217471,0.064782529,54,15896,58,49.3,17561,2,18.8,0.905187632,0.094812368,0,1,56,0,2,1,0.1759233,0.1706967,1,0.2613,-65935.5365,76.2,57,-75240.6578,77.4,104,0.876328549,0.123671451,-75232.5031,77,104,0.876423537,0.123576463,1,1,1,16,16,41,0.285714286,0.1706967,0.1706967,0.138736751,0.07572,14,14,43,0.25,0.15173044,0.15173044,0.130315789,0.07134
021_HarringtonReeder,Extinct,65,34387,37,33717,670,0,0.980515893,0.019484107,28,40611,32,88,42776,2,12.6,0.949387507,0.050612493,2,1,30,0,2,1,0.04227173,0.0317038,1,0.27405,-239011.124,95.2,35,-251146.787,88.1,61,0.951679004,0.048320996,-251144.3158,89.3,61,0.951688368,0.048311632,1,1,1,3,3,32,0.088235294,0.0634076,0.0634076,0.07174531,0.04909,2,2,33,0.058823529,0.0317038,0.0317038,0.060645943,0.04133
024_Garwood,Extinct,44,4138,39,3885,253,97,0.938859352,0.061140648,5,4066,34,64,4350,10,36.3,0.934712644,0.065287356,2,2,24,0,10,0.6,0.1280043,0.089663,0.70072068,0.24167,-23208.4641,88.9,38,-24582.3928,86.5,42,0.944109237,0.055890763,-24375.1168,86.1,42,0.952137554,0.047862446,1,1,1,6,6,31,0.166666667,0.1494383,0.1494383,0.125448265,0.077,6,6,31,0.166666667,0.149438327,0.149438327,0.125448265,0.077
028_Huang,Extinct,78,3157,26,3107,50,0,0.984162179,0.015837821,52,5528,25,79.8,5691,19,10,0.971358285,0.028641715,0,10,12,2,13,0.388888889,0.09500957,0.09500957,0.399885909,0.21074,-26406.0332,87,24,-27406.2594,74.2,76,0.963503732,0.036496268,-27403.3407,73.5,76,0.963606353,0.036393647,1,1,1,0,0,24,0,0,0,0,0,0,0,24,0,0,0,0,0
029_CruzLopezFrancke,Extinct,47,4908,44,4836,72,0,0.985330073,0.014669927,44,7032,35,49.6,7389,38,34.9,0.951684937,0.048315063,4,1,13,14,22,0.402985075,0.2308787,0.1829605,0.340017489,0.1457,-35534.0297,89.1,42,-37250.7047,85.1,45,0.953915637,0.046084363,-37256.4161,86,45,0.953769402,0.046230598,1,1,1,10,11,32,0.243902439,0.1306861,0.1306861,0.261193218,0.16116,9,9,33,0.219512195,0.130686053,0.130686053,0.24205687,0.14724
031_Short,Extinct,44,4336,39,4294,42,0,0.990313653,0.009686347,5,3862,34,54.7,3990,40,55.9,0.967919799,0.032080201,2,3,2,4,32,0.090909091,0.05977533,0,0.047632967,0.02854,-22137.3835,90.9,37,-22903.9205,91.9,42,0.966532498,0.033467502,-22902,91.9,42,0.966613549,0.033386451,1,1,1,4,4,33,0.111111111,0.089663,0.089663,0.062260971,0.03864,4,4,33,0.111111111,0.089662996,0.089662996,0.062260971,0.03864
038_Santos,Extinct,94,2565,62,2451,114,0,0.955555556,0.044444444,32,7891,61,49.7,8392,44,26,0.940300286,0.059699714,0,8,29,3,32,0.347826087,0.1209069,0.1078613,0.420971199,0.15423,-34840.9964,88.5,60,-37774.98,85.8,92,0.922329976,0.077670024,-37699.9717,84.2,92,0.924165054,0.075834946,1,1,1,22,22,38,0.372881356,0.2336994,0.2336994,0.230873857,0.11804,22,22,38,0.372881356,0.233699393,0.233699393,0.233720506,0.11902
039_Kuntner,Extinct,61,4428,43,4197,231,0,0.947831978,0.052168022,18,11701,42,50.2,13215,38,31.7,0.88543322,0.11456678,0,2,32,12,10,0.733333333,0.3293895,0.3217293,0.636778506,0.26212,-53732.8991,87.5,41,-61519.1527,87.9,59,0.873433666,0.126566334,-61503.2933,89.6,59,0.873658892,0.126341108,1,1,1,25,26,16,0.625,0.2949185,0.2949185,0.29433849,0.18291,24,25,17,0.6,0.321729292,0.321729292,0.291563204,0.18233
040_Giles,Extinct,93,10939,10,10674,265,1,0.975774751,0.024225249,83,10305,9,100,11633,63,18.6,0.885842001,0.114157999,0,5,1,0,8,0.076923077,0,0,0.095420687,0.08132,-51589.3178,95,8,-58852.0646,82.4,97,0.876593169,0.123406831,-58824.2274,79.4,97,0.877007996,0.122992004,1,1,1,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0
042_Manos,Extinct,40,2070,35,2006,64,0,0.969082126,0.030917874,5,658,30,70.1,821,36,54.5,0.801461632,0.198538368,1,2,3,5,27,0.137931034,0.1293833,0.1012565,0.118141269,0.07385,-6354.8494,83,33,-7375.5749,85.2,38,0.86160733,0.13839267,-7372.4042,85.5,38,0.861977888,0.138022112,1,1,1,8,8,25,0.25,0.2025131,0.2025131,0.14625418,0.09909,8,8,25,0.25,0.202513061,0.202513061,0.14625418,0.09909
046_Maile,Extinct,99,333866,92,333766,100,0,0.999700479,0.000299521,7,435512,91,70.6,435776,88,64.5,0.999394184,0.000605816,0,2,11,6,80,0.098265896,0.04719397,0.04719397,0.07720726,0.03125,-2472176.546,93.8,90,-2473844.854,89.9,97,0.999325621,0.000674379,-2473836.886,90.6,97,0.99932884,0.00067116,1,1,1,7,7,83,0.078651685,0.04719397,0.04719397,0.052700543,0.02223,8,8,82,0.08988764,0.047193974,0.047193974,0.047482816,0.02003
048_AraujoVieira,Extinct,55,6026,53,5833,193,0,0.967972121,0.032027879,2,8104,45,76.5,9559,45,73.9,0.847787425,0.152212575,4,5,2,1,43,0.035294118,0.0749749,0.02130866,0.029307973,0.01441,-42793.6197,91.9,51,-46559.6945,91.2,53,0.919112983,0.080887017,-46555.3774,92.3,53,0.919198213,0.080801787,1,1,1,1,1,50,0.02,0.02130866,0.02130866,0.008091226,0.00453,1,1,50,0.02,0.021308656,0.021308656,0.008091226,0.00453
052_Pyron,Extinct,223,9074,94,8710,364,6,0.959885387,0.040114613,129,41461,77,52.8,45018,212,72.6,0.920987161,0.079012839,2,8,13,28,64,0.248484848,0.1346311,0.1153347,0.225952718,0.08404,-166618.4594,90.8,92,-189291.0143,87.8,221,0.880223818,0.119776182,-189245.3926,86.6,221,0.880436015,0.119563985,1,1,1,36,37,56,0.395604396,0.2191359,0.2191359,0.240189733,0.10392,35,36,57,0.384615385,0.219135946,0.219135946,0.238461575,0.10307
054_Beck,Extinct,48,10662,20,10244,418,70,0.960795348,0.039204652,28,2162,19,90.3,3184,26,79.9,0.679020101,0.320979899,0,1,8,2,11,0.24137931,0.1300502,0.1300502,0.270511568,0.1738,-27730.7532,93.9,18,-35367.2033,82.9,46,0.78408103,0.21591897,-34968.583,76.3,46,0.793019071,0.206980929,1,1,1,4,5,14,0.058823529,0.06502509,0.06502509,0.06767407,0.03881,4,5,14,0.058823529,0.065025088,0.065025088,0.06767407,0.03881
058_Scarpetta,Extinct,50,1053619,50,1053473,146,178,0.99986143,0.00013857,6,364615,43,85.6,365202,42,89.1,0.99839267,0.00160733,0,3,8,4,35,0.153846154,0.02613721,0.02613721,0.123587227,0.06854,-3560949.796,97.8,42,-3563689.226,94.1,48,0.999231294,0.000768706,-3563674.936,95.5,48,0.999235301,0.000764699,1,1,1,0,0,42,0,0,0,0,0,0,0,42,0,0,0,0,0
