Dataset,nTEterminals,nTEcharacters,nMOLterminals,nMolCharacters,nMorphTerminals,nMorphCharacters,nInvariantCharacters,%MOL/Total,%Morph/Total,MP_MOL_Score,MP_MOL_nClades,MP_MOL_TimeScore,MP_MOL_MeanBS,MP_MOL_TimeBS,MP_TE_Score,MP_TE_nClades,MP_TE_TimeScore,MP_TE_MeanBS,MP_TE_TimeBS,MP_MOL/TE_Score,MP_MORPH/TE_Score,MP_nPolytomiesMOL,MP_nPolytomiesTE,MP_nUniqueCladesMOL,MP_nUniqueCladesTE,MP_MOLvsTE_nSharedClades,MP_MOLvsTE_NormalizedRF,MP_MOLvsTE_NormalizedSPR,MP_MOLvsTE_NormalizedCID,ML_MOL_Score,ML_MOL_MeanBS,ML_MOL_nClades,ML_MOL_TimeBS,ML_TE_noASC_Score,ML_TE_noASC_MeanBS,ML_TE_noASC_nClades,ML_TE_noASC_TimeBS,ML_MOL/TEnoASC_Score,ML_MORPH/TEnoASC_Score,ML_TE_ASC_Score,ML_TE_ASC_MeanBS,ML_TE_ASC_nClades,ML_TE_ASC_TimeBS,ML_MOL/TEASC_Score,ML_MORPH/TeASC_Score,ML_nPolytomiesMOL,ML_nPolytomiesTEnoASC,ML_nPolytomiesTEASC,ML_MOLvsTEASC_nUniqueCladesMOL,ML_MOLvsTEASC_nUniqueCladesTEASC,ML_MOLvsTEASC_nSharedClades,ML_MOLvsTEASC_NormalizedRF,ML_MOLvsTEASC_NormalizedSPR,ML_MOLvsTEASC_NormalizedCID,ML_MOLvsTEnoASC_nUniqueCladesMOL,ML_MOLvsTEnoASC_nUniqueCladesTEnoASC,ML_MOLvsTEnoASC_nSharedClades,ML_MOLvsTEnoASC_NormalizedRF,ML_MOLvsTEnoASC_NormalizedSPR,ML_MOLvsTEnoASC_NormalizedCID
011_Beck,107,24717,107,24537,69,180,6,0.992717563,0.007282437,154682,105,4639,80.4,49868,155351,102,49868,80.4,48241,0.995693623,0.004306377,1,2,11,8,94,0.09359606,0.070439171,0.08068736,-1024688.516,97.2,105,9398,-1028961.532,97.1,105,10643,0.995847253,0.004152747,-1026119.853,96.2,105,7423,0.998605097,0.001394903,1,1,1,13,13,92,0.125,0.100627387,0.0580897,9,9,96,0.086538462,0.07043917,0.075304614
012_Near,10,7301,10,7173,10,128,25,0.982468155,0.017531845,4390,9,6,100,23,4550,9,6,99.9,24,0.964835165,0.035164835,0,0,0,0,9,0,0,0,-27522.1729,95.7,8,8192,-28343.318,95.1,8,4799,0.971028618,0.028971382,-28343.318,96,8,4799,0.971028618,0.028971382,1,1,1,1,1,7,0.142857143,0.1643173,0.13019169,1,1,7,0.142857143,0.1643173,0.13019169
013_Vinther,37,2164,37,2030,37,134,32,0.938077634,0.061922366,6183,36,67,54.3,1171,6335,36,63,63.6,796,0.976006314,0.023993686,0,3,15,1,21,0.296296296,0.1268152,0.39061573,-37683.1988,79.6,35,299036,-38763.0393,85.3,35,309645,0.972142522,0.027857478,-38685.9692,85.3,35,410801,0.974079223,0.025920777,1,1,1,1,1,34,0.029411765,0.0317038,0.023541331,1,1,34,0.029411765,0.0317038,0.023541331
014_Lee,46,41401,46,36860,46,4541,578,0.890316659,0.109683341,97787,45,813,87,8892,118460,45,1106,92.4,8221,0.825485396,0.174514604,0,1,7,6,38,0.152941176,0.09954365,0.094541437,-464645.2814,93.4,44,989127,-588077.7701,92.2,44,1259612,0.790108562,0.209891438,-585336.0946,91.9,44,1631623,0.793809378,0.206190622,1,1,1,10,10,34,0.23255814,0.1742014,0.140773226,10,10,34,0.23255814,0.1742014,0.140773226
015_Gavryushkina,19,6894,19,6642,19,252,122,0.963446475,0.036553525,1663,18,6,83.6,36,1925,18,7,80.7,42,0.863896104,0.136103896,0,2,4,1,14,0.172413793,0.06925953,0.177759582,-17628.5778,87.1,17,8115,-19580.6356,90.4,17,15203,0.900306719,0.099693281,-19070.3735,90.1,17,15952,0.924396043,0.075603957,1,1,1,0,0,17,0,0,0,0,0,17,0,0,0
016_VeaGrimaldi,48,3905,48,3731,48,174,6,0.955441741,0.044558259,7329,12,185,46.8,4445,8461,12,189,55.8,4237,0.866209668,0.133790332,2,2,0,33,12,0.622641509,0.1899839,0.726934119,-33425.0029,73.1,46,73563,-39759.7934,74.8,46,85481,0.840673455,0.159326545,-39708.3486,75,46,95954,0.841762604,0.158237396,1,1,1,22,22,24,0.488888889,0.2849758,0.286098587,22,22,24,0.488888889,0.2849758,0.286098587
017_Ronquist,59,5449,59,5096,59,353,2,0.935217471,0.064782529,15896,58,318,49.3,9599,17434,58,293,62.7,4966,0.911781576,0.088218424,0,0,15,15,43,0.267857143,0.1706967,0.17843049,-65935.5365,76.3,57,146497,-74735.5324,79.1,57,169590,0.882251513,0.117748487,-74706.5191,79.4,57,149540,0.882594147,0.117405853,1,1,1,13,13,44,0.232142857,0.1327641,0.116531509,13,13,44,0.232142857,0.1327641,0.116531509
018_MarxFordyce,12,37285,12,37013,12,272,48,0.992704841,0.007295159,9252,11,14,90.5,57,9677,11,15,93.9,59,0.95608143,0.04391857,0,0,1,1,10,0.111111111,0.1262808,0.114285342,-86325.7949,96.1,10,74341,-88559.7654,94.2,10,44142,0.974774431,0.025225569,-88559.7654,94.6,10,44142,0.974774431,0.025225569,1,1,1,1,1,9,0.111111111,0.1262808,0.111693607,1,1,9,0.111111111,0.1262808,0.111693607
019_Lee,53,22526,53,22131,53,395,20,0.982464707,0.017535293,39963,52,447,86.3,5006,40740,52,2431,88.1,4435,0.980927835,0.019072165,0,0,2,2,50,0.04,0.04261731,0.050960229,-218652.666,86.3,51,189676,-224511.33,87.7,51,250441,0.973904818,0.026095182,-224400.7119,87.7,51,724280,0.974384903,0.025615097,1,1,1,2,2,49,0.04,0.04261731,0.02172034,2,2,49,0.04,0.04261731,0.02172034
020_Wiens,45,16092,45,15794,45,298,0,0.981481481,0.018518519,29616,44,205,90.9,1455,31148,44,229,88.8,1671,0.950815462,0.049184538,0,1,4,3,40,0.084337349,0.07648909,0.085566287,-161474.3542,93.5,43,162555,-169478.5099,94.4,43,233174,0.952771855,0.047228145,-169478.0948,94.4,43,203351,0.952774188,0.047225812,1,1,1,4,4,39,0.095238095,0.1019855,0.086375181,4,4,39,0.095238095,0.1019855,0.086375181
021_HarringtonReeder,37,34387,37,33717,37,670,29,0.980515893,0.019484107,40611,32,261,88,1546,42434,32,273,94.5,1653,0.957039167,0.042960833,2,1,0,3,32,0.047619048,0.0317038,0.089246721,-239011.124,95.2,35,411473,-249211.5909,98.4,35,354833,0.959069051,0.040930949,-249082.568,98.4,35,624840,0.959565842,0.040434158,1,1,1,2,2,33,0.058823529,0.0317038,0.060645943,2,2,33,0.058823529,0.0317038,0.060645943
022_May,30,6265,30,6167,26,98,7,0.984357542,0.015642458,3909,24,19,67.2,153,4091,21,21,67.1,171,0.9555121,0.0444879,2,4,3,0,21,0.073170732,0.04023457,0.084605216,-25870.5151,77.1,28,21654,-26995.6187,76.2,28,29025,0.958322733,0.041677267,-26962.1115,76,28,42804,0.95951369,0.04048631,1,1,1,6,6,22,0.222222222,0.1609383,0.128982997,6,6,22,0.222222222,0.1609383,0.128982997
023_Price,59,3973,59,3875,59,98,0,0.975333501,0.024666499,9107,31,155,55.8,3310,9386,31,143,63.7,2835,0.970274877,0.029725123,2,2,0,24,31,0.292682927,0.1327641,0.410498031,-39809.7655,80.4,57,100860,-41370.4607,84.2,57,129193,0.962275131,0.037724869,-41365.0891,84.1,57,184995,0.962400091,0.037599909,1,1,1,9,9,48,0.160714286,0.1137978,0.152213828,9,9,48,0.160714286,0.1137978,0.152213828
024_Garwood,40,4043,40,3885,40,158,9,0.960920109,0.039079891,4172,35,52,64.9,496,4434,35,51,72.7,467,0.940911141,0.059088859,2,2,8,5,27,0.206349206,0.08716422,0.185978906,-23208.4641,83.6,38,17857,-24864.8547,87.4,38,33097,0.933384264,0.066615736,-24815.2397,87.6,38,25406,0.93525045,0.06474955,1,1,1,5,5,33,0.135135135,0.1452737,0.115112482,5,5,33,0.135135135,0.1452737,0.115112482
