index,minSPR,maxSPR,meanSPR,minRF,maxRF,meanRF,minCID,maxCID,meanCID,comparison
1,0.09051558794942535,0.27154676384827603,0.19375776274613327,0.15714285714285714,0.42857142857142855,0.30809698421013243,0.07486454344398918,0.2445570939050304,0.17672465933959197,MPmol_MPte
2,0,0.164317300688905,0.0821586503444525,0,0.2857142857142857,0.14285714285714285,0,0.19453167073562785,0.09726583536781393,MPmol_MPte
3,0.19315742359339,0.19315742359339,0.19315742359339,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16189855553491495,0.16189855553491495,0.16189855553491495,MPmol_MPte
4,0.06975550342849111,0.1743887585712278,0.11625917238081852,0.0967741935483871,0.22580645161290322,0.15053763440860216,0.04730851756254407,0.13251612520860492,0.08474917008474969,MPmol_MPte
5,0.08716421765130014,0.1162189568684002,0.10653404379603351,0.08108108108108109,0.16216216216216217,0.13813813813813813,0.08195486592230442,0.12087563519209546,0.101925495626278,MPmol_MPte
6,0.04275339077226188,0.17101356308904753,0.11552052557151568,0.0945945945945946,0.28378378378378377,0.19983619983619985,0.06652899649979838,0.18336776611865557,0.12714832964892406,MPmol_MPte
7,0,0.05461057807784213,0.030022198110813327,0,0.07575757575757576,0.03849306276313576,0,0.038465261251737444,0.02180359568767019,MPmol_MPte
8,0,0,0,0,0,0,0,0,0,MPmol_MPte
9,0.07473454137937023,0.2615708948277958,0.1702286775863433,0.20689655172413793,0.3448275862068966,0.2835249042145594,0.17105052468973844,0.2465916345425669,0.2135493131536682,MPmol_MPte
10,0.0859906500329341,0.1719813000658682,0.12898597504940115,0.07692307692307693,0.15384615384615385,0.11538461538461539,0.06161860484578426,0.14320714233187015,0.10241287358882721,MPmol_MPte
11,0.0603764321918376,0.100627386986396,0.08050190958911681,0.0673076923076923,0.11538461538461539,0.09134615384615385,0.06769149346805965,0.09154977375541763,0.07978890674249299,MPmol_MPte
12,0,0,0,0,0,0,0,0,0,MPmol_MPte
13,0.09511140048637277,0.12681520064849702,0.10039536718006015,0.17647058823529413,0.23529411764705882,0.20588235294117646,0.1149435767714579,0.17129108657726794,0.14560478867510718,MPmol_MPte
14,0.09954365403929387,0.12442956754911734,0.1119866107942056,0.13953488372093023,0.16279069767441862,0.1511627906976744,0.09070451898877105,0.10058265559495175,0.0956435872918614,MPmol_MPte
15,0.06925952542092847,0.13851905084185695,0.11543254236821412,0.0625,0.1875,0.125,0.08054397763981154,0.1850452920975337,0.12775376855365148,MPmol_MPte
16,0.14248791254371623,0.23747985423952706,0.18806872327678675,0.3111111111111111,0.4444444444444444,0.38243727598566307,0.21706703706667807,0.26291494630915013,0.24305025048201784,MPmol_MPte
